tipo,nombre,direccion,telefono,nro_habitaciones,responsable,nro_plazas,categoria,servicios,web,email
Hotel,Hotel Apartamentos Otorongo,Av. 12 de Abril 5-40 y Guayas,5937-2882788,ND,Sr. Xavier Montezuma,13,Segunda,Wi-Fi desayuno ,www.hotelotorongo.com, hotelotorongo@gmail.com
Hotel,Hotel Boutique Castilla de Leon,Hermano Miguel y Mariscal Lamar (esquina),5937-2825912/0980406723,ND,ND,ND,ND,Hospedaje alimentacion TV por cable telefono cafeteria,www.hotelboutiquecastilladeleon.com.ec, reservas@hotelboutiquecastilladeleon.com.ec
Hotel,Hotel Carvallo,Gran Colombia 9-52 entre Padre Aguirre y Benigno Malo,5937-2832063,30,Estefany Loayza,55,Primera,Bar lavanderia secador de cabello Wi-Fi TV por cable mini transfer restaurant salones para eventos ,www.hotelcarvallo.com.ec, ventas@hotelcarvallo.com.ec
Hotel,Hotel Casa de las Rosas,Manuel Vega 12-57 entre Sangurima y A Vega Munoz ,5937-4114587,5,Mariella Isabel Vera Calderon,18,Primera,Wi-Fi lavanderia bano privado TV satelital sala de te parqueadero snack bar ,www.casadelasrosas.biz, info@casadelasrosas.biz
Hotel,Hotel Casa del Aguila,Mariscal Sucre 13-56 entre Juan Montalvo y Estevez de Toral,5937-2849580,ND,Sra. Cintia Chacon,ND,ND,ND,www.hotelcasadelaguila.com, reservas@hotelcasadelaguila.com
Hotel,Hotel Casa Montalvo,Juan Montalvo 8-33 entre Bolivar y Sucre,5937-2844997,8,Merchan Larrea Sonia Magdalena,18,Segunda,Bano privado TV por cable telefono parqueadero internet,www.casamontalvo.com,casa.montalvo.cuenca@gmail.com
Hotel,Hotel Casa San Rafael,Simon Bolivar 5-05 y Mariano Cueva Esquina,5937-2823920,13,Srta. Valeria Cabrera,26,Primera,Television por cable Caja fuerte por habitacion Informacion turistica Hall de lectura Wi-Fi Estacion de cafe y te gratuito las 24h Telefono con acceso a llamadas internacionales Reservas de Parqueadero Lavanderia Masajes Cuenca City tour ,www.casasanrafael.com, info@casasanrafael.com
Hotel,Hotel Casa Sucre,Mariscal Sucre 12-19 y Tarqui,5937-2822810,12,Cobos Arias Blanca Alexandra,30,Primera,ND,www.casasucre.com, casasucrehs@hotmail.com
Hotel,Hotel Cordero,Bolivar 6-50 y Presidente Borrero,5937-2843084,30,Sra. Ismenia Chumbi,64,Segunda,Cafeteria parking Wi-Fi room service ,www.hotelcordero.com, info@hotelcordero.com
Hotel,Hotel Coronel,Mariano Cueva 9-42 Y Bolivar,5937-2838108,ND,Coronel Izquierdo Victor Celestino,ND,ND,ND,www.hotelcoronel.ec, reserva@hotelcoronel.ec
Hotel,Hotel El Campanario,Padre Aguirre 11-84 y Sangurima,5937-2823816,18,Sra. Narcisa Miranda,27,Primera,Wi-Fi TV por cable bano privado y desayuno incluido ,www.hotelcampanario.com.ec, info@hotelcampanario.com.ec
Hotel,Hotel El Conquistador,Gran Colombia 6-65 y Presidente Borrero,5937-2842888,42,Ing. Veronica Bermudez,98,Primera,Transfer in-out Restaurante Desayuno buffet Coctel de bienvenida Business Center Lavanderia Salon de eventos Estacion de bebidas calientes Wi-Fi,www.hotelconquistadorcuenca.com, directorservicios@comisersa.com
Hotel,Hotel El Dorado,Gran Colombia 7-87 y Luis Cordero,5937-2831390,52,Lcda. Liliana Pinos,104,Lujo,Alimentacion (Restaurante Goda Restaurante FogoGrill Restaurante Fogo Mar) Gimnasio Sauna Turco Internet Alambrico e Inalambrico Desayuno tipo buffet Transfer in out Parqueadero Privado ,www.eldoradohotel.com.ec, reservas@eldoradohotel.com.ec
Hotel,Hotel El Quijote,Hermano Miguel 9 - 58 y Gran Colombia,5937-2843197,33,Sra. Maricela Alvarez,63,Segunda,Restaurante cafeteria salon de eventos TV por cable parqueadero ,www.hotelquijote.com, john_montero@hotelquijote.com
Hotel,Hotel Ensuenos,GRAN COLOMBIA 1-82 Y MANUEL VEGA,5937-2844961/07-2845038,31,ND,53,Primera,Wi-Fi bano privado agua caliente desayuno bufet TV por cable parqueadero ,www.hotelensuenos.com, hotelensuenos@yahoo.com
Hotel,Hotel Forum,Presidente Antonio Borrero 10-91 y Mariscal Lamar,5937-2828801,11,Sr. Thomas Klatte,25,Primera,Casa patrimonial recepcion 24 horas parqueadero (cerca del hotel) restaurante bar salon antiguo terraza traslados del aeropuerto lavanderia acceso sin barreras exposiciones de arte Todas las habitaciones con bano privado Wi-Fi DirecTV telefono caja fuerte mini-bar (opcional) servicio a la habitacion ,www.forumhotel.ec, hotelesklatte@gmail.com
Hotel,Hotel Four Point by Sheraton Cuenca,Av. CircunvalaciÛn y Felipe II, 5937-6022000,120,ND,ND,5 Estrellas,Wi-Fi Piscina Gimnasio Spa Restaurante Traslados Servicio a la habitacion fax fotocopiado centro de negocios salas de reuniones y banquetes conserjerÌa guarda equipaje lavado y planchado parqueo gimnasio,www.espanol.marriott.com/hotels/fact-sheet/travel/cuefp-four-points-cuenca/,ND
Hotel,Hotel Inca Real,General Torres 8-40 entre Sucre y Bolivar,5937-2823636,25,Sra. Claudia Gonzalez,50,Primera,Salon para reuniones y eventos Restaurante Desayuno Bar-cafeteria Lavanderia y planchado express Internet gratuito y Wi-Fi DirecTV TV Informacion y asistencia turistica Servicio de Transfer (costo adicional) ,www.hotelincareal.com.ec, reservaciones@hotelincareal.com.ec
Hotel,Hotel Italia,Av. Espana y Huayna Capac,5937-2840060,44,Victor Santiago Quizhpi Sinchi,73,ND,Wi-Fi Direct TV bano privado servicio de restaurante y desayuno incluido ,www.hotelitalia.com.ec, info@hotelitalia.com.ec
Hotel,Hotel Kuna,Avenida de Las Americas 10 93 y Luis Cordero,5937-2838305/07-2838362/099-8020030,20,Ing. Oswaldo Vanegas,60,4 estrellas,Alojamiento-Pet House Alimentacion Salon de eventos Room service Servicio de parqueo dentro de las instalaciones Maquillaje Room Service Medico a la habitacion Masajes room Service Serenata room,www.kunahotel.com, reservas@kunahotel.com
Hotel,Hotel Los Balcones,Borrero 12-08 y Gaspar Sangurima,5937-2842103,14,Sr. Henry Ordonez,21,4 estrellas,Wi-Fi bano privado minibar TV por cable telefono cafeteria bar restaurante lavanderia Transfer in-out parqueadero,www.hotellosbalconescuenca.com, reservas@hotellosbalconescuenca.com
Hotel,Hotel Majestic I,Luis Cordero 11-29 y Mariscal Lamar (En pleno Centro del Casco Historico de Cuenca) ,5937-2843502/0985228859,11,ND,40,ND,ND,www.hotelmajesticcuenca.com , hotelmajestic1129@gmail.com
Hotel,Hotel Mansion Alcazar,Simon Bolivar 12 - 55 y Tarqui,5937-2823918/07-2823889,19,Sra. Maritza Farfan,34,Lujo,Wi-Fi spa parqueadero DirecTV desayuno americano transfer hotel-aeropuerto salon de eventos restaurante bar area de masajes jacuzzi steem room,www.mansionalcazar.com, info@mansionalcazar.com
Hotel,Hotel Milan,Presidente Cordova 9-89y Padre Aguirre,5937-2835351,26,Ing. Ivan Ochoa,50,Tercera,Restaurante cafeteria Wi-Fi caja de seguridad en la habitacion informacion turistica ventanas insonorizadas ,www.hotelmilan.com.ec, info@hotelmilan.com.ec
Hotel,Hotel Oro Verde,Avenida Ordonez Lasso S N y prolongacion de la 3 de Noviembre ,5937-4090000,69,Sra. Teresa Flandoli,114,Lujo,Restaurante cafeteria salones de eventos catering Coctel de bienvenida Desayuno Buffet (adicional en Tarifa) Traslados aeropuerto ? hotel ? aeropuerto previa reservacion 30 Minutos de Internet en nuestro Business Corner Uso de las instalaciones Oro Fit Gimnasio Piscina Sauna y Bano Turco Wi-Fi Estacionamiento 24h Cupon de planchado por 2 prendas ,www.oroverdecuenca.com, reservas_cue@oroverdehotels.com
Hotel,Hotel Pinar del Lago,Av. Ordonez Laso ,5937-4089751,30,Srta. Veronica Leon,60,Primera,Wi-Fi restaurante parqueadero TV por cable telefonia transfer coctail de bienvenida ,www.hotelpinar.com, reservas@hotelpinar.com
Hotel,Hotel Posada del Rey,Calle Benigno Malo y Presidente Cordova,5937-2843845,ND,ND,ND,ND,ND,www.posadadelreyhotel.com, gerencia@posadadelreyhotel.com
Hotel,Hotel Presidente,Gran Colombia 6 - 59 y Borrero,5937-2831066,ND,Srta. Maribel Muy,ND,ND,ND,www.hotelpresidente.com.ec, reservas@hotelpresidente.com.ec
Hotel,Hotel Principe,Juan Jaramillo 7-82 y Luis Cordero,5937-2834369,28,Eco. Monica Celleri,60,Primera,Habitaciones con TV por cable bano privado y telefono Restaurante sala para eventos parqueadero Wi-Fi galeria de artesanias y recuerdos ,www.hotelprincipe.com.ec, hotelprincipe@etapanet.net
Hotel,Hotel Raymipampa,Gran Colombia 11-78 y Tarqui,5937-2840674,17,ND,40,ND,ND,www.raymipampa.com,ND
Hotel,Hotel Rio Piedra,Presidente Cordova 8-40 y Luis Cordero,5937-2843821,22,Sr. Juan Pablo Vanegas,48,Primera,TV por cable Internet Wi-Fi Telefono lavanderia parqueadero nocturno informacion turistica ,www.hotelriopiedra.net, riopiedrahosp@yahoo.es
Hotel,Hotel Rione,Luis Moreno Mora y Eduardo Malo (2 cuadras el colegio la Salle),5937-24092085/07-2883879,30,Tatiana Palacios,42,Primera,Parqueadero privado restaurant cafeteria Wi-Fi TV por cable lavanderia telefono caja de seguridad mini bar en cada habitacion ,www.rionehotel.com, reservas@rionehotel.com
Hotel,Hotel Rosamia,Vargas Machuca 9-43 y Simon Bolivar,5937-2844387,ND,Lcda. Andrea Farfan,ND,ND,ND,www.hotelrosamia.com, any443@hotmail.com
Hotel,Hotel San Andres,Gran Colombia 11-66 y Tarqui,5937-2850039,23,Sra. Sonia Yanzahuano,31,Primera,Wi-Fi TV por cable cafeteria telefono lavanderia parqueadero convenio con restaurantes de la zona informacion turistica Wi-Fi TV satelital transfer in y out ,www.hotelsanandres.net, info@hotelsanandres.net
Hotel,Hotel Santa Ana,Presidente Cordova 11-49 Y Gral Torres,5937-2823872,31,Sr. Esteban Pinos,ND,ND,Restaurante cafeteria bar parking Wi-Fi piscina,www.hotelsantaana.webs.com, hotelsantaana77@hotmail.com
Hotel,Hotel Santa Lucia,Presidente Borrero 8-44 y Mariscal Sucre,5937-2828000,ND,Sr. Edison Tacuri,ND,Lujo,Restaurante cafeteria bar parking Wi-Fi ,www.santaluciahotel.com, cvintimilla@me.com
Hotel,Hotel Santa Monica,Mariscal Sucre 6-80 y Presidente Borrero,5937-2840215,30,Sra. Monica Delgado,48,Primera,lavanderia TV por cable Wi-Fi parqueadero bano privado desayuno ,www.hotelsantamonicaecuador.com, htlsantamonica@gmail.com
Hotel,Hotel Tomebamba,Bolivar 11-19 y General Torres,ND,10,Ing. Edgar Leon,ND,ND,Wi-Fi bano privado TV por cable telefono cafeteria parqueo y lavanderia ,www.tomebamba.allcuencahotels.com, hoteltomebamba@hotmail.com
Hotel,Hotel Valgus,Av. Solano 4-31 y Florencia Astudillo,5937-2818651,43,ND,130,Lujo,Wi-Fi de alta velocidad TV por cable restaurante servicio de lavanderia amenities de lujo caja de seguridad personal minibar piso termico area fitness amplio parqueadero interno entre otros ,www.hotelvalgus.com, reservas@hotelvalgus.com
Hotel,Hotel Victoria,Calle Larga 6-93 y Presidente Borrero,5937-2827401,23,ND,42,Primera,Wi-Fi TV por cable Bar Cava de Vinos caja de seguridad centro de negocios transfer in-outbajo demanda telefono lavanderia parqueadero restaurante-cafeteria ,www.grupo-santaana.com, gstaana@etapanet.net
Hotel,Hotel Villa Emilia,Cornelio Merchan 3-77 y Manuel J Calle,5937-2817565/07-2881358,14,Lituma Ulloa Diego Andres,41,Segunda,Wi-Fi bano privado TV por cable telefono cafeteria parqueo y lavanderia ,www.villaemilia.ec, info@villaemilia.ec
Hotel,Hotel Yanuncay,Vargas Machuca 10-70 entre Gran Colombia Y Lamar,5937-4115081,30,Ing. Jose Luis Correa,60,Primera,Bar-Restaurante y cafeteria La Cascada parqueo privado Wi-Fi sauna hidromasaje gimnasio puertas magneticas salon de eventos Tres Puentes? servicio de lavanderia ,www.hotelyanuncay.com.ec, info@hotelyanuncay.com.ec
Hotel,Las Gardenias Hotel,Juan Montalvo 10-44,5937-2843643/07-2843778/0987132380,ND,ND,ND,ND,ND,www.gardeniashostel.com, info@gardeniashotel.com
Hotel,Patrimonio,Simon Bolivar 6-22 y Hermano Miguel,5937-2831126/07-2837812/2842163/0998092970,34,ND,65,Segunda,Desayuno tipo buffet Internet ilimitado Cajas de seguridad TV por cable con programacion nacional e internacional Sistema de seguridad con video de circuito cerrado ,www.patrimoniohotel.com, reservas@patrimoniohotel.com
Hotel,San Juan,General Torres 9-59 y Gran Colombia,5937-2840870,25,ND,60,Primera,Cafeteria parqueadero Wi-Fi TV satelital transfer in y out salon de eventos llamadas a USA y Canada GRATIS caja de seguridad,www.sanjuanhotel.ec, info@sanjuanhotel.ec
Hotel,Tito,Gaspar Sangurima 1-49,5937-2829734,32,ND,58,Segunda,Restaurante cafeteria lavanderia caja de seguridad parqueadero Room Service TV por cable telefono con discado directo nacional e internacional Servicio de Internet Wi-Fi ,www.hoteltito.com, reservas@hoteltito.com
Hostal,Alternative,Av. Huayna Capac y Cacique Duma esq ,5937-4084101,8,ND,20,Tercera,Wi-Fi cocina terraza sala de TV ,ND, anhostels@gmail.com
Hostal,Aranjuez,Calle Aranjuez (Frente al Terminal Terrestre),5937-2868016,16,ND,30,Tercera,Garaje privado servicio de internet inalambrico Wi-Fi TV por Cable Cnt,ND, jupala02@hotmail.com
Hostal,Bauhouse,Benigno Malo 10-31 y Gran Colombia,5937-2832931/0999876769,4,ND,35,Segunda,Desayuno Wi-Fi cocina actividades diarias agua caliente cuarto de TV cuarto de juegos recepcion 24 horas,www.facebook.com bauhousehostel, bauhousehostel@hotmail.com
Hostal,Calle Angosta,Tarqui 12-38 y Sangurima,5937-2822489,13,ND,33,Segunda,Wi-Fi bano privado con agua caliente DirecTV telefono y parqueadero ademas de servicios extras como room service lavanderia restaurante traslados tours ,www.hostalcalleangosta.com, hostalcalleangosta@hotmail.com
Hostal,Chordeleg,Gran Colombia 11-15 y General Torres esq ,5937-2822536/07-2824611,18,ND,45,Segunda,Wi-Fi garaje bano privado agua caliente TV por cable servicio a la habitacion ,ND, hostal.chordeleg@yahoo.com
Hostal,El Haro,Av. Huayna Capac 3-76 y Sangurima,5937-2836702,15,ND,36,Primera,Restaurante rustico Wi-Fi gratis en todas nuestras habitaciones ,www.hostalharo.hostel.com, hostal_haro@yahoo.com
Hostal,Hostal Amazonas,La Madrid esquina y Haranjuez,5937-2867448,29,Uruchima Campoverde Ana Josefina,57,Primera,Wi-Fi TV por cable restaurante lavanderia y parqueadero,www.hotelamazonasonline.com, anauruchima@yahoo.com
Hostal,Hostal Casa Central,Luis Cordero 10-47 entre Gran Colombia y Lamar,5937-2827293/0959526678,ND,ND,ND,ND,ND,ND, casacentralr@gmail.com
Hostal,Hostal Casa LLoret,Carlos V 3-12 e Isabel la Catolica,5937-2886150,ND,Gustavo Lloret,ND,ND,ND,www.hostalcasalloret.com, info@hostalcasalloret.com
Hostal,Hostal Casa Ordonez,Mariscal Lamar 8-59 y Benigno Malo,5937-2823297,ND,Sra. Maria Ines Ordonez,ND,ND,ND,www.hotelcasaordonez.com, casaordonez@gmail.com
Hostal,Hostal Colonial,Gran Colombia 10-13 y Padre Aguirre,5937-2841644,14,Soliz Flores Clara Ernestina,27,Segunda,Wi-Fi TV por cable desayuno incluido ,ND, hostalcolonialcuenca@gmail.com
Hostal,Hostal El Monasterio de Coleccion,Hermano Miguel 4-79 y Honorato Vasquez,5937-2827827,ND,Ing. Carlos Andrade,ND,ND,ND,www.hostalmonasterio.blogspot.com,ND
Hostal,Hostal Ines Maria,Gran Colombia 12-64 y Tarqui,5937-2848380,14,Srta. Erika Sanchez,28,Primera,Cafeteria parqueadero LCDs con DirecTV agua caliente Wi-Fi varios espacios sociales que incluye huerta jardin ,www.hostalinesmaria.com,ND
Hostal,Hostal Kolibri ByB,Av. 27 de Febrero 6-42 y Arturo Valencia M ,5937-2883052,6,ND,ND,ND,ND,ND,ND
Hostal,Hostal La Casona,Miguel Cordero 2-124 y Alfonso Cordero,5937-4103504,28,Ledesma Gonzalez Angel Patricio,50,Primera,Wi-Fi desayuno incluido servicio de bar y cafeteria lavanderia bodega para maletas caja fuerte ,www.lacasonahotel.com.ec,ND
Hostal,Hostal La Orquidea,Antonio Borrero 9-31 y Simon Bolivar,5937-2835844/07-2824511,28,Lic. Lorena Solis,74,Segunda,TV por cable Wi-Fi habitaciones con bano privado servicio de cafeteria lavanderia y planchado caja de seguridad garaje nocturno nevera y telefono ,www.laorquidea.com.ec,ND
Hostal,Hostal Morenica del Rosario,Gran Colombia 10-65 entre General Torres y Padre Aguirre ,5937-2828669,17,ND,37,Primera,DirecTV Amenities Caja fuerte Mini bar Lavanderia y tintoreria Estacion de te y cafe gratis Wi-Fi Computadora para huespedes Bar-cafe-restaurante Salon de eventos Mirador Change yourbook Recepcion 24 horas Atencion medica Servicio de Ninera Asistencia Turistica ,www.morenicadelrosario.com,ND
Hostal,Hostal Nass Bed y Breakfast,Federico Malo 1-261 y Tadeo Torres,5937-2834182/0998656897,ND,Stefania Moreno,ND,ND,ND,www.nasshotels.com,ND
Hostal,Hostal Posada del µAngel,Simon Bolivar 14-11 y Estevez de Toral,5937-2840695/07-2821360,20,Srta. Angie Hernandez,49,Primera,TV por cable Wi-Fi parqueadero lavanderia desayuno americano caja de seguridad bodega de guarda equipaje informacion turistica restaurante te y cafe las 24hrs 3 salas de descanso con areas de lectura ,www.hostalposadadelangel.com,ND
Hostal,Hostal Residencia Sanchez,Vega Munoz 4-32 y Vargas Machuca,5937-2831519,24,ND,50,Tercera,Wi-Fi parqueadero restaurante ,ND, residencial-sanchez@hotmail.com
Hostal,Hostal San Diego,Av. de las Americas 13-00 y Mariscal Lamar,5937-2837569,7,Ugalde Espinoza Diego Alejandro,20,Segunda,Internet Wi-Fi TV por cable suit con nevera terrazas parqueadero ,ND, dugalde30@gmail.com
Hostal,La Castellana,Luis Cordero 10-47 y Gran Colombia,5937-2827293,13,ND,21,Primera,Desayuno TV por cable Wi-Fi secadora de cabello en las habitaciones ,www.hostalcastellana.com, hlacastellana@etapanet.net
Hostal,La Cigale,Honorato Vasquez 7-80 y Luis Cordero,5937-2835308/094122692,11,ND,31,2 Estrellas,Wi-Fi desayuno incluido servicio de bar y cafeteria lavanderia bodega para maletas caja fuerte ,www.lacigalecuencana.jimdo.com, lacigalecuencana@yahoo.fr
Hostal,Majestic,Luis Cordero 11-29 entre Lamar y Sangurima,5937-2843502,11,ND,18,Segunda,Wi-Fi TV por cable servicio de desayunos 4 areas sociales atencion bilingÅe telefono servicio las 24 horas ,ND, hostalmajestic@hotmail.com
Hostal,Paredes,Bartolome Serrano 1-17 y Bolivar,5937-2835674,12,ND,25,Segunda,Wi-Fi desayuno ,ND, hostalparedes@hotmail.com
Hostal,Pepes House Bed y Breakfast,Mariano Cueva 9-69 entre Gran Colombia y Simon Bolivar,5937-2833135/0978876769/0978725370,ND,ND,ND,ND,ND,www.pepeshouse.com, info@pepeshouse.com
Hostal,Pumapungo Hotel,Pasaje Pumapungo Y 3 de Noviembre,5937-2832138,ND,Ing. Thanne Campozano R.,ND,ND,ND,www.pumapungohotel.com.ec, info@pumapungohotel.com.ec
Hostal,Vieja Mansion,Luis Cordero 5-65 y Calle Larga,5937-2821515,22,ND,44,Primera,Wi-Fi gratis llamadas locales gratis masajes TV por cable lavanderia salon de conferencias restaurant bar cafeteria garaje ,www.hotelviejamansion.com, information@hotelviejamansion.com
Hostal,Villa Nova Inn,Paseo 3 de Noviembre 24-06 y Escalinatas (frente al Parque de la Madre),5937-2836790,12,ND,35,Segunda,Wi-Fi garaje bano privado agua caliente TV por cable servicio a la habitacion ,www.villanovacuenca.com, info@villanovacuenca.com
Hostal,Villa San Marcos,Vega Munoz 7-45,5937-4049369/07-2843111,21,ND,30,Segunda,Habitaciones con bano privado agua caliente 24hrs internet - Wi-Fi TV por cable ,ND, villa.sanmarcos.hostal@hotmail.com
Hostal,Villaprimavera,Gil Ramirez Davalos 1-90 y Heroes de Verdeloma,5937-2871357,22,ND,50,Segunda,Servicios TV por cable Wi-Fi parqueadero privado todas las habitaciones tienen bano privado agua caliente atencion 24 horas ,ND, villaprimaveracuenca@gmail.com
Hosteria,Agapantos,Banos - Paseo Guadalupana 1-26,5937-2892015,7,ND,32,Segunda,Wi-Fi masajes piscina banos de cajon hidromasaje ,www.agapantos.com, info@agapantos.com
Hosteria,Caballo Campana,Via Misicata Banos Km 4,5937-2892360,18,ND,45,Primera,Hospedaje restaurante 3 salones de eventos canchas deportivas club hipico caminatas ,www.caballocampana.com, info@caballocampana.com
Hosteria,Dos Chorreras,Km 21 via al Cajas,5937-2454301,7,ND,15,Primera,Hospedaje Centro de Convenciones Cafeteria Chuquiragua Pesca deportiva Transfers Cabalgata y Rodeo Caminatas Ciclismo y escalada de montana Artesanias Granja Kayak Piscicola Museo ,www.hosteriadoschorreras.com, info@hosteriadoschorreras.com
Hosteria,Hosteria Duran,Av. Ricardo  Duran via a Banos,5937-2892301,36,ND,68,Lujo,Servicios Transfer in-out Cocktail de bienvenida Desayuno buffet Piscina y turco termal Banos de torro termal Canchas de Raquet tenis mini-futbol volley ball Parqueadero gratuito Wi-Fi ilimitado Cafeteria Restaurante Yaku bar Karoke Salones para Eventos y Convenciones SPA terma (No hay sugerencias) ,www.hosteriaduran.com, reservaciones@hosteriaduran.com
Hosteria,Lago de Cristal,Giron - San Fernando,5937-2832883,15,ND,80,Primera,Hospedaje alimentacion retiros seminarios talleres giras paseos recepciones Previa reservacion se prepara alimentacion para 250 personas ,www.lagodecristal.com, hosterialagodecristal@etapanet.net
Hosteria,Refugio Calmecatl,Km 70 (E 35) Via Cuenca - Loja,593-996386193,ND,ND,ND,ND,ND,ND,ND
Hosteria,Rodas,Calle 1 de Septiembre (entrada a Huizhil) y Av. Ricardo Duran (Banos),5937-2892161,15,ND,34,Tercera,Piscinas turcos termas parqueadero privado cafeteria salones de eventos y conferencias sala de masajes ,www.hosteriarodas.com, reservaciones@hosteriarodas.com
